size,p,err_pade,err_rk45,err_sp,err_10
3,2000,1.80266801561951522245136814372e-13,1.80266804557265808229917027636e-13,8.93062284105370672251195212778e-13,1.19157071290495874446683411535
3,3000,9.02194920339208468082218182785e-14,9.02194976411837886257379546853e-14,9.50941564051414723994018960114e-14,1.19157048185664159096905496185
3,4000,4.1078397873817382254847304977e-14,4.1078397873817382254847304977e-14,1.62207565644326515137038436332e-12,1.19156774574534499149010469956
3,5000,2.50517152079550054495842823525e-13,2.54890761003922296126458761941e-13,3.14195972086846721846908044428e-13,1.19155683899400534138614312077
3,6000,2.24709179820131458007640517701e-13,3.70215374353879419327589884948e-13,3.20074122970973361387744202361e-13,1.19153223819056950103786164847
3,7000,2.86348336575154075555484533959e-14,6.70803930241157011687209293887e-13,2.18523719917909734587433438901e-13,1.19149256993432976301698053895
3,8000,1.92134137297249022738460984752e-13,1.41616227601980966683956968387e-12,3.54236088663393324170341323312e-12,1.19144148039530233266556264523
3,9000,7.21717922005228228043495339188e-13,7.21717922005228228043495339188e-13,8.6907221092573577046768758584e-13,1.19138626316672053794231577333
3,1000,7.81627609276660697674849053762e-14,7.81627799403578776892013149003e-14,5.0020569207185092380809534772e-13,1.69862984352697046803687080036
3,2000,1.31850090299084108039062420144e-13,1.31850096560263302334279769103e-13,1.13885244361418328242051296169e-12,1.69862984352697051965808477297
3,3000,2.10953679820373509090102972336e-13,2.1095367953849534739318942013e-13,1.91844316682244430330464049675e-12,1.69862984352697060626256763136
3,4000,2.4353012191031362930625511094e-13,1.48920052091539574683188648064e-13,1.76212201099801354325718191439e-12,1.69862984352697029680312661783
3,5000,3.23097123771987109722206201423e-13,3.23097123415599540572494418252e-13,1.07775310465504298284320152718e-12,1.69862984352697067399630096628
3,6000,2.70376862170952962582635575643e-13,6.64018828233377034286061683966e-13,3.88968566181012278415181365585e-12,1.69862984352697046701889784935
3,7000,5.20216692991137027959723813447e-13,5.20216703259113062258853782607e-13,7.0279771992460426965397074027e-12,1.69862984352697079121148189308
3,8000,5.50534118811314512980929075692e-13,5.50534421393739691261219228746e-13,4.59504028859683402244877438122e-12,1.6986298435269705110383819486
3,9000,7.64491497525949388059314595734e-13,7.64491515717051677611450301332e-13,3.09413512393618023486291035604e-12,1.69862984352697071407266113336
3,1000,3.38556057500792271277469844166e-14,3.3855533455456356389031777113e-14,9.14054026747768964172499787245e-13,1.21923064551473124855690304807
3,2000,8.14337123465503635143958423926e-14,8.14337083497109051048531496782e-14,2.00803508837768456255379130292e-12,1.21923064551480330793399628182
3,3000,3.74106399446621372522725644063e-14,3.74105420671907559603157514951e-14,2.36563176863090587715464360961e-12,1.21923064551472592798839457923
3,4000,6.89104780514501441037036206741e-14,6.89104970101343097116623846618e-14,4.06413573298434084392242716832e-12,1.21923064551466387624200531143
3,5000,3.56574518471647928773513500234e-13,3.56574518236316517707851551049e-13,7.62692789111931688122780271774e-12,1.21923064551479774333924503639
3,6000,1.15505834234867994448502402198e-13,1.155058282733793459688321931e-13,4.96679786558610329494155198846e-12,1.21923064551468623597920307002
