size,sparsity,spectral_norm,spectral_cond,fwd_err,decomp_err_12,decomp_err_365
3,0.4444444444444444,0.0445634194725461554749941523916,inf,"('4.9787e-17', '1.1421e-13', '6.7703e-16')","('2.35568e-16', '2.35568e-16', '1.43908e-14', '1.28013', 'Schur-Padé with RegRE')","('2.0862e-14', '3.58664e-14', '2.60949e-13', '1.69965', 'Schur-Padé with RegRE')"
3,0.5555555555555556,0.0372604101043693876992488753421,inf,"('6.6026e-17', '5.7398e-14', '4.1771e-16')","('9.74227e-16', '9.74227e-16', '1.10386e-15', '1.22883', 'Sonnenberg method')","('3.12816e-14', '3.12816e-14', '3.5775e-14', '1.20253', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0392570890916324619306794579296,inf,"('2.8923e-17', '1.4029e-13', '1.2845e-15')","('1.43787e-16', '1.31555e-15', '1.51878e-14', '1.43865', 'Sonnenberg method')","('2.80847e-15', '2.80848e-15', '1.7518e-13', '1.71032', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0491947694644687227943274484988,inf,"('9.9381e-17', '6.9966e-13', '4.344e-16')","('2.93581e-16', '2.93581e-16', '4.98295e-16', '1.60576', 'Schur-Padé with RegRE')","('1.24733e-14', '1.24733e-14', '2.02149e-14', '1.70204', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0437183218190307316368028686787,inf,"('9.4435e-18', '3.456e-13', '3.437e-16')","('1.8252e-16', '9.78634e-16', '5.85959e-15', '1.25168', 'Sonnenberg method')","('1.07639e-14', '2.75835e-14', '2.57767e-13', '1.22072', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0168371310404642273516624662085,inf,"('4.7622e-17', '1.2654e-15', '4.2111e-16')","('8.67067e-16', '8.67105e-16', '2.05386e-15', '1.13196', 'Sonnenberg method')","('1.69195e-14', '1.69195e-14', '1.38111e-13', '1.71995', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0520437245997153996943920445185,inf,"('8.6862e-17', '1.8619e-12', '1.1064e-15')","('5.29176e-16', '5.28737e-16', '1.08347e-14', '1.20535', 'Sonnenberg method')","('1.49301e-14', '1.49301e-14', '1.22195e-13', '1.21716', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0188966148395344824613985771738,inf,"('2.0979e-17', '1.9694e-15', '5.5975e-16')","('6.48251e-16', '1.74673e-15', '8.74756e-15', '1.13694', 'Sonnenberg method')","('1.39171e-14', '1.39171e-14', '1.77753e-13', '1.24345', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0538225083558183210098711784226,inf,"('5.2366e-17', '2.3843e-12', '4.2288e-16')","('7.76116e-16', '4.03846e-16', '4.28167e-15', '1.19447', 'Schur-Padé with RegRE')","('6.49816e-15', '3.8154e-14', '2.07645e-13', '1.24132', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.051993692691067576946566983185,inf,"('7.6108e-18', '1.0193e-12', '7.2188e-16')","('1.06213e-15', '1.06204e-15', '8.24657e-15', '1.55104', 'Schur-Padé with RegRE')","('3.56279e-14', '3.56279e-14', '9.46095e-14', '1.69484', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0588613987736921590850177330239,inf,"('6.245e-17', '4.6949e-12', '8.6832e-16')","('3.60756e-16', '3.61589e-16', '1.72248e-14', '1.19231', 'Schur-Padé with RegRE')","('2.60547e-14', '2.60546e-14', '2.95691e-13', '1.22036', 'Schur-Padé with RegRE')"
3,0.5555555555555556,0.0399935613259682711681136984292,inf,"('6.7506e-17', '9.6328e-14', '8.5027e-17')","('6.09105e-16', '6.09105e-16', '7.87132e-16', '1.32732', 'Schur-Padé with RegRE')","('2.65152e-14', '5.02413e-14', '3.18527e-14', '1.2035', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.030118567035732841149325353617,inf,"('8.1109e-17', '1.7418e-14', '5.8876e-16')","('4.67164e-16', '4.67127e-16', '8.10877e-15', '1.27503', 'Sonnenberg method')","('2.90129e-14', '1.50516e-14', '2.88528e-13', '1.72332', 'Schur-Padé with RegRE')"
